,Course_ID,Year,Course_Duration,Course_Ress_Digit,Course_Ress_inClass,Resources_Amount,Resources_Rank,Resources_Type_Basic
0,1,2013,35,2,18,20,1,Exercise
1,1,2013,35,2,18,20,2,Lecture
2,1,2013,35,2,18,20,3,Lecture
3,1,2013,35,2,18,20,4,Video
4,1,2013,35,2,18,20,5,QCM
5,1,2013,35,2,18,20,6,Lecture
6,1,2013,35,2,18,20,7,Exercise
7,1,2013,35,2,18,20,8,Exercise
8,1,2013,35,2,18,20,9,Exercise
9,1,2013,35,2,18,20,10,Lecture
10,1,2013,35,2,18,20,11,Lecture
11,1,2013,35,2,18,20,12,Lecture
12,1,2013,35,2,18,20,13,Lecture
13,1,2013,35,2,18,20,14,Lecture
14,1,2013,35,2,18,20,15,Lecture
15,1,2013,35,2,18,20,16,Lecture
16,1,2013,35,2,18,20,17,Lecture
17,1,2013,35,2,18,20,18,Exercise
18,1,2013,35,2,18,20,19,Lecture
19,1,2013,35,2,18,20,20,Exercise
20,2,2013,8,1,6,7,1,Lecture
21,2,2013,8,1,6,7,2,Lecture
22,2,2013,8,1,6,7,3,Video
23,2,2013,8,1,6,7,4,Lecture
24,2,2013,8,1,6,7,5,Exercise
25,2,2013,8,1,6,7,6,Exercise
26,2,2013,8,1,6,7,7,Examen
27,3,2013,28,3,16,19,1,Lecture
28,3,2013,28,3,16,19,2,Exercise
29,3,2013,28,3,16,19,3,Exercise
30,3,2013,28,3,16,19,4,Lecture
31,3,2013,28,3,16,19,5,Exercise
32,3,2013,28,3,16,19,6,Lecture
33,3,2013,28,3,16,19,7,Video
34,3,2013,28,3,16,19,8,Lecture
35,3,2013,28,3,16,19,9,Lecture
36,3,2013,28,3,16,19,10,Test
37,3,2013,28,3,16,19,11,Lecture
38,3,2013,28,3,16,19,12,Lecture
39,3,2013,28,3,16,19,13,Exercise
40,3,2013,28,3,16,19,14,QCM
41,3,2013,28,3,16,19,15,Lecture
42,3,2013,28,3,16,19,16,Lecture
43,3,2013,28,3,16,19,17,Exercise
44,3,2013,28,3,16,19,18,Lecture
45,3,2013,28,3,16,19,19,Examen
46,4,2013,20,1,4,5,1,QCM
47,4,2013,20,1,4,5,2,Lecture
48,4,2013,20,1,4,5,3,Exercise
49,4,2013,20,1,4,5,4,Lecture
50,4,2013,20,1,4,5,5,Exercise
51,5,2013,32,4,19,23,1,Lecture
52,5,2013,32,4,19,23,2,Lecture
53,5,2013,32,4,19,23,3,Exercise
54,5,2013,32,4,19,23,4,Lecture
55,5,2013,32,4,19,23,5,Lecture
56,5,2013,32,4,19,23,6,Lecture
57,5,2013,32,4,19,23,7,Lecture
58,5,2013,32,4,19,23,8,Exercise
59,5,2013,32,4,19,23,9,Lecture
60,5,2013,32,4,19,23,10,Lecture
61,5,2013,32,4,19,23,11,Lecture
62,5,2013,32,4,19,23,12,QCM
63,5,2013,32,4,19,23,13,Lecture
64,5,2013,32,4,19,23,14,Lecture
65,5,2013,32,4,19,23,15,QCM
66,5,2013,32,4,19,23,16,Exercise
67,5,2013,32,4,19,23,17,Video
68,5,2013,32,4,19,23,18,Lecture
69,5,2013,32,4,19,23,19,Video
70,5,2013,32,4,19,23,20,Exercise
71,5,2013,32,4,19,23,21,Lecture
72,5,2013,32,4,19,23,22,Exercise
73,5,2013,32,4,19,23,23,Examen
74,6,2013,51,3,15,18,1,Lecture
75,6,2013,51,3,15,18,2,Exercise
76,6,2013,51,3,15,18,3,Exercise
77,6,2013,51,3,15,18,4,Exercise
78,6,2013,51,3,15,18,5,Lecture
79,6,2013,51,3,15,18,6,Lecture
80,6,2013,51,3,15,18,7,Lecture
81,6,2013,51,3,15,18,8,Exercise
82,6,2013,51,3,15,18,9,QCM
83,6,2013,51,3,15,18,10,Lecture
84,6,2013,51,3,15,18,11,Lecture
85,6,2013,51,3,15,18,12,Video
86,6,2013,51,3,15,18,13,Lecture
87,6,2013,51,3,15,18,14,Lecture
88,6,2013,51,3,15,18,15,QCM
89,6,2013,51,3,15,18,16,Lecture
90,6,2013,51,3,15,18,17,Lecture
91,6,2013,51,3,15,18,18,Examen
92,7,2013,6,1,4,5,1,Video
93,7,2013,6,1,4,5,2,Lecture
